"NAME [String]","METHOD [String]","regularizationType [String]","scalerType [String]","featuresColumn [String]","C [Double]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"data_solubility","SVC_LIN_DESC","L1","MaxMin","rdkit_desc","0.01","0.5426158578013701","0.4932113016710643","0.479020979020979","0.6556152927120669"
"data_solubility","SVC_LIN_DESC","L2","MaxMin","rdkit_desc","0.01","0.9215282686441336","0.916721635883905","0.9263677498971616","0.9214954201513341"
"data_solubility","SVC_LIN_DESC","L1","Standard","rdkit_desc","0.01","0.9496381239651216","0.9495932277924363","0.939942410530646","0.9593787335722823"
"data_solubility","SVC_LIN_DESC","L2","Standard","rdkit_desc","0.01","0.9477999084596811","0.9517370272647319","0.9370629370629371","0.9545997610513742"
"data_solubility","SVC_LIN_DESC","L1","MaxMin","cdk_desc","0.01","0.5059538110964543","0.5272647317502199","0.45485396955985186","0.5357427319792911"
"data_solubility","SVC_LIN_DESC","L2","MaxMin","cdk_desc","0.01","0.9578136513946172","0.9502528583992964","0.9593788564376802","0.9638092393468748"
"data_solubility","SVC_LIN_DESC","L1","Standard","cdk_desc","0.01","0.9521432381276317","0.9577286719437113","0.9548539695598519","0.9438470728793319"
"data_solubility","SVC_LIN_DESC","L2","Standard","cdk_desc","0.01","0.9547877272982649","0.9565743183817061","0.9682229535170711","0.9395659099960175"
"data_solubility","SVC_LIN_DESC","L1","MaxMin","rdkit_desc","0.1","0.9406844694654616","0.9134784520668425","0.9491464417935007","0.9594285145360414"
"data_solubility","SVC_LIN_DESC","L2","MaxMin","rdkit_desc","0.1","0.975493061875118","0.9804309586631486","0.9737762237762237","0.9722720031859816"
"data_solubility","SVC_LIN_DESC","L1","Standard","rdkit_desc","0.1","0.9435350192712314","0.9494832893579594","0.9265220074043603","0.9545997610513742"
"data_solubility","SVC_LIN_DESC","L2","Standard","rdkit_desc","0.1","0.9426156500423216","0.9527814423922601","0.9254936240230358","0.9495718837116687"
"data_solubility","SVC_LIN_DESC","L1","MaxMin","cdk_desc","0.1","0.951103320473409","0.9500329815303429","0.9562937062937065","0.9469832735961777"
"data_solubility","SVC_LIN_DESC","L2","MaxMin","cdk_desc","0.1","0.9755610613622382","0.9774076517150395","0.9781982723159195","0.9710772600557552"
"data_solubility","SVC_LIN_DESC","L1","Standard","cdk_desc","0.1","0.9530097884728748","0.9524516270888304","0.967708761826409","0.938868976503385"
"data_solubility","SVC_LIN_DESC","L2","Standard","cdk_desc","0.1","0.9474449925226714","0.957673702726473","0.9626182640888524","0.9220430107526887"
"data_solubility","SVC_LIN_DESC","L1","MaxMin","rdkit_desc","1.0","0.9786435540286896","0.9808432277924362","0.9762443438914027","0.9788430904022302"
"data_solubility","SVC_LIN_DESC","L2","MaxMin","rdkit_desc","1.0","0.9775727014129864","0.9808707124010553","0.9745475113122172","0.977299880525687"
"data_solubility","SVC_LIN_DESC","L1","Standard","rdkit_desc","1.0","0.9421729896336414","0.9523966578715919","0.9271390374331552","0.9469832735961772"
"data_solubility","SVC_LIN_DESC","L2","Standard","rdkit_desc","1.0","0.9402858444602785","0.9552550571679859","0.9206602221308103","0.9449422540820394"
